Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Toyota,Aygo X,3/2024,508 760 Kč,9 900 km,53 kW,Benzín,4.1 l/100km,Manuál
Opel,Astra,6/2023,508 760 Kč,38 401 km,96 kW,Benzín,4.3 l/100km,Manuál
MG,MG3,8/2024,506 260 Kč,300 km,143 kW,Hybrid,4.4 l/100km,Automat
Škoda,Octavia,1/2023,505 760 Kč,103 000 km,110 kW,Benzín,5.5 l/100km,Manuál
Citroën,Berlingo,4/2021,505 260 Kč,25 651 km,96 kW,Diesel,5.6 l/100km,Manuál
Seat,Ateca,11/2020,504 260 Kč,155 386 km,140 kW,Diesel,5.3 l/100km,Automat
Kia,XCeed,7/2023,500 760 Kč,25 330 km,88 kW,Benzín,5.4 l/100km,Manuál
Hyundai,i30,2/2023,500 260 Kč,39 000 km,118 kW,Hybrid,4.7 l/100km,Manuál
BMW,116,3/2021,500 260 Kč,56 000 km,80 kW,Benzín,4 l/100km,Manuál
Opel,Mokka,5/2023,499 760 Kč,35 264 km,81 kW,Diesel,3.8 l/100km,Manuál
Audi,A4,11/2020,499 260 Kč,147 500 km,110 kW,Benzín,5.7 l/100km,Automat
Opel,Combo,1/2023,497 760 Kč,40 000 km,74 kW,Diesel,4.1 l/100km,Manuál
Peugeot,2008,7/2021,497 260 Kč,13 945 km,74 kW,Benzín,6 l/100km,Automat
Volkswagen,Golf,6/2021,497 260 Kč,43 250 km,110 kW,Benzín,5.3 l/100km,Manuál
Nissan,Leaf,1/2020,496 760 Kč,21 300 km,110 kW,Elektro,17.1 kWh/100km,Automat
BMW,118,12/2019,496 260 Kč,25 587 km,103 kW,Benzín,5.7 l/100km,Manuál
Opel,Corsa,10/2023,496 260 Kč,16 480 km,100 kW,Elektro,,Automat
Peugeot,5008,3/2021,496 260 Kč,161 017 km,96 kW,Diesel,5.6 l/100km,Automat
Renault,Trafic,9/2020,495 760 Kč,82 500 km,88 kW,Diesel,5.7 l/100km,Manuál
BMW,i3,9/2019,495 760 Kč,19 980 km,125 kW,Elektro,,Automat
Peugeot,2008,11/2021,494 260 Kč,42 471 km,100 kW,Elektro,15.9 kWh/100km,Automat
Mercedes-Benz,Citan,8/2020,490 760 Kč,10 000 km,70 kW,Diesel,4.6 l/100km,Manuál
Opel,Astra,6/2023,490 260 Kč,40 955 km,96 kW,Benzín,4.3 l/100km,Manuál
Volkswagen,T-Cross,4/2022,488 760 Kč,53 664 km,81 kW,Benzín,5.8 l/100km,Manuál
Nissan,Qashqai,2/2021,486 760 Kč,80 350 km,116 kW,Benzín,5.8 l/100km,Automat
Tesla,Model 3,12/2019,486 760 Kč,146 758 km,225 kW,Elektro,,Automat
