Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Mercedes-Benz,Citan,7/2017,239 260 Kč,165 501 km,65 kW,Diesel,4.2 l/100km,Manuál
Citroën,C4,6/2023,574 760 Kč,6 400 km,100 kW,Elektro,15.3 kWh/100km,Automat
Jeep,Avenger,3/2024,604 760 Kč,17 826 km,74 kW,Benzín,5.7 l/100km,Manuál
Audi,A3,10/2020,486 760 Kč,130 198 km,85 kW,Diesel,4.5 l/100km,Manuál
Fiat,Ducato,7/2021,373 760 Kč,120 000 km,103 kW,Diesel,6.8 l/100km,Manuál
Renault,Trafic,3/2022,453 260 Kč,100 000 km,81 kW,Diesel,6.9 l/100km,Manuál
Toyota,Mirai,7/2019,492 760 Kč,32 394 km,113 kW,Vodík,,Automat
Citroën,Jumper,6/2024,803 760 Kč,17 km,103 kW,Diesel,10 l/100km,Manuál
Ford,Transit Custom,9/2021,398 760 Kč,130 101 km,96 kW,Diesel,7.7 l/100km,Manuál
Toyota,Proace,12/2024,813 260 Kč,0 km,100 kW,Elektro,23.8 kWh/100km,Automat
Volkswagen,ID.5,12/2024,1 178 760 Kč,0 km,210 kW,Elektro,15.7 kWh/100km,Automat
Citroën,Jumper,6/2021,262 260 Kč,146 278 km,88 kW,Diesel,6.1 l/100km,Manuál
Jeep,Renegade,10/2021,602 260 Kč,29 000 km,140 kW,Benzín,1.9 l/100km,Automat
Volkswagen,T6 Transporter,11/2021,816 260 Kč,98 841 km,110 kW,Diesel,6.6 l/100km,Automat
Peugeot,3008,10/2015,234 260 Kč,142 000 km,88 kW,Diesel,4.2 l/100km,Automat
Citroën,C4,6/2023,573 260 Kč,6 400 km,100 kW,Elektro,15.3 kWh/100km,Automat
Volkswagen,up!,4/2016,207 260 Kč,121 000 km,44 kW,Benzín,4.4 l/100km,Manuál
Audi,A3,9/2012,184 260 Kč,97 565 km,77 kW,Benzín,5.5 l/100km,Manuál
Ford,S-Max,8/2020,318 760 Kč,106 054 km,140 kW,Diesel,5.5 l/100km,Automat
MG,MG4,10/2023,530 260 Kč,5 500 km,125 kW,Elektro,17 kWh/100km,Automat
MG,MG4,3/2023,468 760 Kč,16 277 km,125 kW,Elektro,,Automat
Peugeot,Expert,1/2020,339 760 Kč,134 803 km,90 kW,Diesel,6 l/100km,Manuál
Hyundai,i20,4/2014,109 760 Kč,152 000 km,63 kW,Benzín,4.8 l/100km,Manuál
Suzuki,Swift,1/2024,486 760 Kč,5 072 km,60 kW,Benzín,5.1 l/100km,Automat
Hyundai,ix35,3/2012,164 260 Kč,150 466 km,99 kW,Benzín,6.6 l/100km,Manuál
Hyundai,Inster,1/2025,636 760 Kč,1 km,85 kW,Elektro,,Automat
Toyota,Mirai,3/2019,519 260 Kč,20 000 km,113 kW,Vodík,,Automat
Tesla,Model Y,5/2023,809 260 Kč,107 860 km,255 kW,Elektro,,Automat
Nissan,Leaf,3/2020,283 260 Kč,169 000 km,110 kW,Elektro,,Automat
Audi,A6,7/2023,1 010 260 Kč,13 700 km,195 kW,Benzín,6.8 l/100km,Automat
Volkswagen,T6 Transporter,11/2021,835 260 Kč,93 778 km,110 kW,Diesel,6.6 l/100km,Automat
Toyota,Corolla,9/2020,304 260 Kč,10 km,90 kW,Benzín,3.6 l/100km,Automat
Land Rover,Range Rover Evoque,8/2016,296 760 Kč,97 794 km,110 kW,Diesel,5.1 l/100km,Automat
Jeep,Renegade,8/2023,641 260 Kč,19 100 km,96 kW,Benzín,5.3 l/100km,Automat
SsangYong,Musso,12/2024,880 260 Kč,25 km,149 kW,Diesel,9.2 l/100km,Automat
RAM,1500,3/2023,1 024 260 Kč,12 600 km,294 kW,Benzín,,Automat
Opel,Vivaro,8/2023,569 260 Kč,50 km,100 kW,Elektro,21.7 kWh/100km,Automat
Fiat,Ducato,9/2023,535 760 Kč,42 951 km,103 kW,Diesel,7.9 l/100km,Manuál
BMW,iX1,11/2024,1 002 260 Kč,0 km,150 kW,Elektro,17.2 kWh/100km,Automat
Lancia,Ypsilon,11/2022,281 760 Kč,60 000 km,51 kW,Hybrid,,Manuál
Toyota,Proace,11/2024,857 260 Kč,0 km,100 kW,Elektro,23.8 kWh/100km,Automat
