Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Ford,Ranger,6/2023,1 371 260 Kč,22 500 km,215 kW,Benzín,13.2 l/100km,Automat
Mazda,CX-60,6/2024,1 367 760 Kč,8 650 km,187 kW,Diesel,5.2 l/100km,Automat
Volkswagen,Touareg,12/2020,1 366 260 Kč,35 342 km,210 kW,Diesel,8.2 l/100km,Automat
Porsche,Macan,3/2021,1 363 260 Kč,89 490 km,260 kW,Benzín,8.9 l/100km,Automat
Volkswagen,ID.7,12/2023,1 362 260 Kč,6 609 km,210 kW,Elektro,,Automat
Mercedes-Benz,EQE,11/2023,1 361 760 Kč,15 991 km,215 kW,Elektro,,Automat
BMW,430 Gran Coupé,7/2023,1 360 760 Kč,24 900 km,210 kW,Diesel,5.5 l/100km,Automat
Mercedes-Benz,EQB,1/2025,1 359 760 Kč,0 km,215 kW,Elektro,17.2 kWh/100km,Automat
Audi,Q7,1/2022,1 356 260 Kč,73 357 km,210 kW,Diesel,8 l/100km,Automat
BYD,Seal,12/2024,1 353 260 Kč,0 km,390 kW,Elektro,,Automat
Mercedes-Benz,E 220,1/2024,1 349 260 Kč,54 454 km,145 kW,Diesel,,Automat
Hyundai,Santa Fe,8/2024,1 340 760 Kč,5 280 km,158 kW,Hybrid,5.8 l/100km,Automat
Audi,Q8,1/2020,1 340 760 Kč,83 620 km,210 kW,Diesel,7.1 l/100km,Automat
Audi,S4,12/2022,1 340 260 Kč,61 618 km,251 kW,Diesel,6.4 l/100km,Automat
Kia,Sorento,1/2024,1 338 260 Kč,5 233 km,142 kW,Diesel,6.6 l/100km,Automat
Tesla,Model X,2/2020,1 337 260 Kč,29 506 km,449 kW,Elektro,,Automat
Audi,Q4 e-tron,2/2024,1 335 760 Kč,8 700 km,210 kW,Elektro,,Automat
Volvo,EX40,2/2024,1 326 760 Kč,3 000 km,185 kW,Elektro,,Automat
Volvo,XC60,7/2024,1 325 760 Kč,20 702 km,257 kW,Hybrid,,Automat
Volvo,XC60,1/2025,1 322 260 Kč,0 km,261 kW,Hybrid,,Automat
BMW,330,7/2024,1 322 260 Kč,9 050 km,216 kW,Hybrid,,Automat
Volvo,EX40,5/2024,1 322 260 Kč,4 590 km,330 kW,Elektro,,Automat
Cupra,Terramar,12/2024,1 314 760 Kč,36 km,195 kW,Benzín,8.4 l/100km,Automat
Volkswagen,Passat,8/2024,1 312 760 Kč,14 584 km,200 kW,Hybrid,16.8 l/100km,Automat
Land Rover,Range Rover Evoque,1/2024,1 306 260 Kč,10 km,118 kW,Benzín,6.8 l/100km,Automat
Audi,Q7,12/2021,1 305 760 Kč,88 784 km,280 kW,Hybrid,,Automat
Mercedes-Benz,GLC 200,6/2023,1 303 260 Kč,16 591 km,150 kW,Benzín,7.8 l/100km,Automat
Cupra,Tavascan,9/2024,1 291 260 Kč,7 789 km,250 kW,Elektro,,Automat
GWM,Wey 03,12/2024,1 289 260 Kč,10 km,270 kW,Hybrid,,Manuál
Mercedes-Benz,GLE 350,2/2021,1 288 260 Kč,125 168 km,200 kW,Diesel,7.5 l/100km,Automat
Cupra,Terramar,10/2024,1 288 260 Kč,10 000 km,195 kW,Benzín,8.6 l/100km,Automat
Mercedes-Benz,A 35 AMG,2/2024,1 285 760 Kč,8 757 km,225 kW,Benzín,,Automat
Mercedes-Benz,GLB 220,3/2024,1 285 760 Kč,14 768 km,140 kW,Diesel,5.8 l/100km,Automat
BMW,420 Gran Coupé,3/2024,1 283 760 Kč,17 151 km,140 kW,Diesel,4.8 l/100km,Automat
Volvo,EX30,12/2024,1 280 760 Kč,0 km,200 kW,Elektro,15.7 kWh/100km,Automat
Mercedes-Benz,A 35 AMG,3/2024,1 265 260 Kč,9 000 km,225 kW,Benzín,,Automat
Ford,Explorer,12/2024,1 263 760 Kč,0 km,250 kW,Elektro,,Automat
Mercedes-Benz,GLC 300,1/2022,1 256 760 Kč,59 500 km,180 kW,Diesel,6.3 l/100km,Automat
Audi,Q7,3/2021,1 248 260 Kč,97 500 km,280 kW,Hybrid,,Automat
Mercedes-Benz,GLC 400,9/2020,1 247 260 Kč,40 000 km,243 kW,Diesel,6.9 l/100km,Automat
Ford,Mustang Mach-E,12/2022,1 235 760 Kč,3 950 km,358 kW,Elektro,21 kWh/100km,Automat
Mercedes-Benz,EQE,3/2024,1 233 260 Kč,16 286 km,180 kW,Elektro,,Automat
Mercedes-Benz,C 43 AMG,7/2020,1 222 260 Kč,15 000 km,287 kW,Benzín,9.2 l/100km,Automat
Mercedes-Benz,E 300,6/2023,1 193 260 Kč,29 604 km,225 kW,Hybrid,,Automat
BMW,530,1/2023,1 187 260 Kč,19 700 km,215 kW,Hybrid,,Automat
Land Rover,Discovery Sport,3/2024,1 187 260 Kč,15 422 km,120 kW,Diesel,5.3 l/100km,Automat
BMW,iX1,2/2024,1 187 260 Kč,4 015 km,150 kW,Elektro,,Automat
Maserati,Ghibli,6/2019,1 185 260 Kč,48 476 km,202 kW,Diesel,7.5 l/100km,Automat
Kia,Sorento,9/2023,1 183 760 Kč,18 606 km,148 kW,Diesel,,Automat
Mercedes-Benz,CLA 250,4/2024,1 182 760 Kč,6 829 km,160 kW,Hybrid,,Automat
Cupra,Formentor,4/2023,1 177 760 Kč,4 295 km,287 kW,Benzín,9.3 l/100km,Automat
Audi,Q4 e-tron,7/2023,1 171 260 Kč,24 610 km,221 kW,Elektro,,Automat
